Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
BACILLUS CLAUSII UBBC-07,,"Para este constituinte foram aprovadas as especificações do fabricante:  Unique Biotech Limited. Hyderabad, Índia.",Fonte de Bacillus clausii UBBC-07,1) Alegação: O Bacillus clausii UBBC-07 pode contribuir com a saúde gastrointestinal. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bacillus clausii UBBC-07 atenda aos valores mínimos estabelecidos no Anexo III da Instrução Normativa - IN nº 318 de 19/09/2024.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças. Pessoas com enfermidades e/ou sob o uso de medicamentos, consulte seu médico"" deve constar na rotulagem do produto.",
Bacillus coagulans GBI-30 6086 (ATCC 7050),,FCC,Fonte de Bacillus coagulans GBI-30 6086,"Alegação: ""O Bacillus coagulans GBI-30 6086 (ATCC 7050) pode contribuir com a saúde do trato gastrointestinal."" Requisito: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bacillus coagulans GBI-30 6086 (ATCC 7050) atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.","A advertência ""O produto contendo a(s) linhagem(ns) probiótica(s) não deve ser utilizado ou por pessoas imunocomprometidas (seja por uma condição de doença ou pelo uso de medicação imunossupressora) ou por pessoas acometidas de condição de saúde debilitante grave.” deve constar na rotulagem do produto.",
Bacillus coagulans SNZ 1969 (MTCC 5724; BCCM LMG S-27484; ATCC 3560),,"Para este ingrediente foram aprovadas as especificações do proprietário-fabricante Sanzyme Biologics Pvt., Ltd., localizado em Hyderabad, Índia.",fonte de probiótico em suplementos alimentares,O Bacillus coagulans SNZ 1969 (MTCC 5724; BCCM LMG S-27484; ATCC 3560) pode contribuir com a saúde do trato gastrointestinal. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bacillus coagulans SNZ 1969 (MTCC 5724; BCCM LMG S-27484; ATCC 3560) fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos na Instrução Normativa nº 28/2018.,"
A advertência ""Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças até três anos de idade, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
Bacillus subtilis HU58 (NCIMB 30283),,"Para esse constituinte foram aprovadas as especificações do fabricante: Synergia Life Sciences Pvt. Ltd. (Grupo Viridis). Maharashtra, India.",Fonte de Bacillus subtilis HU58 (NCIMB 30283),"Alegação: ""O Bacillus subtilis HU58 (NCIMB 30283) pode contribuir com a saúde do trato gastrointestinal."" Requisito: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bacillus subtilis HU58 (NCIMB 30283) atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.","A advertência “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
Bacillus subtilis subsp. inaquosorum DE111,,"Para este constituinte foram aprovadas as especificações do fabricante: Deerland Probiotic and Enzymes Inc, localizada em 2995 Cobb International Blv, Kennesaw,
Geórgia, EUA.",Fonte de probiótico,1) Alegação: O Bacillus subtilis subsp. inaquosorum DE111 pode contribuir com a saúde do trato gastrointestinal. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bacillus subtilis subsp. inaquosorum DE111 fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
BANHA DE AVESTRUZ,,"Parâmetros Físico-Químicos
Umidade: Máx. 0,2%
Impurezas insolúveis: Máx. 0,05%
Índice de acidez: máx. 4,0 mg KOH/g
Índice de peróxidos: Máx. 15,0 meq/kg

Contaminantes
Arsênio: máx. 0,1 mg/kg
Chumbo: máx. 0,1 mg/kg
Cobre: máx. 0,4 mg/kg
Ferro: máx. 5,0 mg/kg

Perfil de ácidos graxos
Ácido láurico (C12:0): 0,0 - 1,82%
Ácido mirístico  (C14:0): 0,25% - 2,62%
Ácido palmítico (C16:0): 16,5% - 34,9%
Ácido palmitoleico (C16:1): 4,50% - 13,7%
Ácido esteárico  (C18:0): 5,34% - 11,8%
Ácido oleico (C18:1): 13,8% - 42,76%
Ácido linoleico (C18:2): 1,52% - 18,1%",Fonte de lipídeos,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não se aplica,
BANHA DE AVESTRUZ,,"STANDARD FOR EDIBLE FATS AND OILS
NOT COVERED BY INDIVIDUAL STANDARDS
CXS 19-1981

(foram consideradas as referências bibliográficas para o perfil de ácidos graxos e os limites de
contaminantes da RDC 722/22)",Fonte de lipídeos,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,,"Aprovado Resolução-RE Nº 1.178, DE 05 DE ABRIL DE 2023 - Autorizado apenas para os peticionantes até a inclusão na IN 28/2018 e suas atualizações."
Baobá em pó (Adansonia digitata),,"1. Para este constituinte foram aprovadas as especificações do fabricante BFCS - Baobab Fruit Company Senegal S.a.r.l. - Thies - Senegal. 

2. Para este constituinte foi aprovada a seguinte especificação:
Descrição/Definição: Os frutos de baobá são colhidos de árvores da espécie Adansonia digitata. A polpa obtida do fruto é desidratada e moída para ser transformada em um pó de coloração branca.
Parâmetros físico-químicos
Umidade: mín. 4,5 % e máx. 13,7 %
Proteína: mín. 1,8 % e máx. 9,3 %
Gordura: máx. 1,6 %
Carboidratos totais: mín. 76,3 % e máx. 89,5 %
Açúcares (como glicose): mín. 15,2 % e máx. 36,5 %
Fibra alimentar: mín. 40 % e máx. 60 %
Cinzas: mín. 3,8 % e máx. 6,6 %
Sódio (mg/100 g): mín. 0,1 e máx. 25,2",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Beta-alanina,107-95-9, TRS 928-JECFA 63/98 COMPENDIUM ADDENDUM 12/FNP 52 Add 12/88 FAS 54-JECFA 63/435,Fonte do aminoácido Beta-alanina,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"As advertências ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" e  ""Quantidade diária máxima de 2 g com doses divididas de, no máximo, 300 mg, com intervalo de duas horas entre as doses."" devem constar na rotulagem do produto.",
Betacaroteno,7235-40-7,"European pharmacopoeia 9.0 

FCC 

Prepared at the 51st JECFA (1998), published in FNP 52 Add 6 (1998) superseding specifications prepared at the 44th JECFA (1995), published in FNP 52 Add 3 (1995). ADI ""acceptable"", provided the level of use does not exceed the level normally found in vegetables, established at the 41st JECFA in 1993. Metals and arsenic specifications revised at the 59th JECFA (2002).
 
Prepared at the 74thJECFA (2011) and published in FAO Monographs 11 (2011), superseding specifications prepared at the 31st JECFA (1987), published in the Combined Compendium of Food Additive Specifications, FAO JECFA Monographs 1 (2005). A group ADI of 0-5 mg/kg bw for beta carotene, synthetic and from Blakeslea trispora, was established at the 57th JECFA (2001). 

Prepared at the 61st JECFA (2003), published in FNP 52 Add 11 (2003), superseding specifications prepared at the 57th JECFA (2001), published in FNP 52 Add 9 (2001).   A group ADI with β -carotene (synthetic) of 0 - 5 mg/kg bw was established at the 57th JECFA (2001).",Fonte de Vitamina A,"1) Alegação: A vitamina A auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações..
2) Alegação: A vitamina A auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A vitamina A auxilia no metabolismo do ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: A vitamina A contribui para a manutenção da pele. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: A vitamina A auxilia na manutenção de mucosas.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: A vitamina A auxilia no processo de diferenciação celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina A. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina A corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações., desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Beta-glucana de Euglena gracillis,,"Para esse constituinte foram aprovadas as especificações do fabricante: Kemin Foods, L.C. - USA",Fonte de Beta-glucana de alga Euglena gracilis,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,,
Beta-glucana de farelo de aveia,,Para este constituinte foram aprovadas as especificações do fabricante: Tate & Lyle Sweden - Kimstad - Suécia.,Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Beta-glucana de levedura (Saccharomyces cerevisiae),,"EFSA Journal 2011;9(5):2137 

FCC 

USP-NF",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Beta-glucana de levedura (Saccharomyces cerevisiae),,"The EFSA Journal 2011;9(5):2137 

FCC",Fonte de Beta-glucana,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,,
Bicarbonato de potássio/Hidrogênio carbonato de potássio,298-14-6,,Fonte de Potássio,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não há requisitos adicionais,
Bicarbonato de sódio,144-55-8,"USP-NF 

FCC",Fonte de Sódio,"1) Alegação: Não contém/Livre de/Zero (0 ou 0%) /Sem/Isento de sódio. Requisitos: A alegação é restrita aos suplementos alimentares cuja
recomendação diária do alimento pronto para consumo
forneça no máximo 5 mg de sódio
2) Alegação: Baixo em/Pouco/Baixo teor de/Leve em sódio. Requisitos: A alegação é restrita aos suplementos alimentares cuja
recomendação diária do alimento pronto para consumo
forneça no máximo 40 mg de sódio.",Não há requisitos adicionais,
Bifidobacterium animalis subsp. lactis (DSM 15954),,Para esse constituinte foram aprovadas as especificações dos fabricantes: Danisco USA Inc.,Fonte de Bifidobacterium animalis subsp. lactis (DSM 15954),"Alegação: ""O Bifidobacterium animalis subsp. lactis (DSM 15954) contribui com a saúde do trato gastrointestinal"". Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bifidobacterium animalis subsp. lactis (DSM 15954)atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.","A advertência “Este produto não deve ser consumido por pessoas imunocomprometidas ou acometidas de condição de saúde debilitante grave."" devem constar na rotulagem do produto.",
Bifidobacterium animalis subsp. lactis BB12 (DSM 15954),,"Para esse constituinte foram aprovadas as especificações dos fabricantes: 
CHR Hansen - Dinamarca.",Fonte de Bifidobacterium animalis subsp. lactis BB12 (DSM 15954),"Alegação: ""O Bifidobacterium animalis subsp. lactis BB12(DSM 15954) contribui com a saúde do trato gastrointestinal"". Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Bifidobacterium animalis subsp. lactis BB12  (DSM 15954)atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.","A advertência “Este produto não deve ser consumido por pessoas imunocomprometidas ou acometidas de condição de saúde debilitante grave."" devem constar na rotulagem do produto.",
